;Apache HTTPD;Nginx;Varnish;Apache TS;Wingate;Squid
must-revalidate with ETag;ok;fail;fail;ok;fail;fail
proxy-revalidate with ETag;ok;fail;fail;ok;fail;fail
s-maxage with ETag;ok;fail;fail;ok;fail;fail
must-revalidate with Last-Modified;ok;fail;fail;ok;fail;ok
proxy-revalidate with Last-Modified;ok;fail;fail;ok;fail;ok
s-maxage with Last-Modified;ok;fail;fail;ok;fail;ok
must-revalidate with Date;fail;fail;fail;fail;fail;fail
proxy-revalidate with Date;fail;fail;fail;fail;fail;fail
s-maxage with Date;fail;fail;fail;fail;fail;fail
must-revalidate without validation tokens;fail;fail;fail;fail;fail;fail
proxy-revalidate with without validation tokens;fail;fail;fail;fail;fail;fail
s-maxage with Date without validation tokens;fail;fail;fail;fail;fail;fail